name,slug,released,genre,rating,metacritic
Deck of Ashes,deck-of-ashes,2020-06-09,Strategy,3.56,
Holdfast: Nations At War,holdfast-nations-at-war,2020-03-05,Indie,3.09,
Zombie Army 4: Dead War,zombie-army-dead-war-4,2020-02-04,Shooter,3.3,
In Other Waters,in-other-waters,2020-04-02,Indie,0.0,
shapez.io,shapezio,2020-05-19,Puzzle,0.0,
DJMAX RESPECT V,djmax-respect-v,2020-03-11,Casual,0.0,
Ever Forward Prologue,ever-forward-prologue,2020-05-28,Casual,0.0,
VirtuaVerse,virtuaverse,2020-05-11,Indie,0.0,
Medieval Dynasty,medieval-dynasty,2020-09-16,Adventure,0.0,
Partisans 1941,partisans-1941,2020-10-14,Strategy,0.0,76.0
KINGDOM HEARTS - HD 1.5+2.5 ReMIX,kingdom-hearts-hd-1525-remix,2020-02-18,none,4.5,
Siege Survival: Gloria Victis Prologue,siege-survival-gloria-victis-prologue,2020-08-19,Adventure,0.0,
Sands of Salzaar,bu-luo-yu-wan-dao,2020-01-15,Indie,0.0,
Star Renegades,star-renegades,2020-09-08,Strategy,3.33,79.0
Spellbreak,spellbreak,2020-09-03,Action,2.65,77.0
Skul: The Hero Slayer,skul-the-hero-slayer,2020-02-18,Indie,2.83,
Inertial Drift: Sunset Prologue,inertial-drift-sunset-prologue,2020-06-23,Racing,0.0,
ATOM RPG Trudograd,atom-rpg-trudograd,2020-05-10,RPG,4.43,
The Uncertain: Light At The End,the-uncertain,2020-10-08,Adventure,0.0,
Samurai Jack: Battle Through Time,samurai-jack-battle-through-time,2020-08-21,Adventure,3.67,72.0
Bloodroots,bloodroots,2020-02-28,Indie,3.0,
Destroy All Humans! Demo,destroy-all-humans-demo,2020-05-26,none,0.0,
Out of Space,out-of-space-3,2020-02-26,Strategy,3.75,
Until You Fall,until-you-fall,2020-09-29,Indie,0.0,
Wasteland Remastered,wasteland-remastered,2020-02-24,Strategy,2.67,
Samurai Shodown NeoGeo Collection,samurai-shodown-neogeo-collection,2020-06-11,Action,0.0,76.0
Ministry of Broadcast,ministry-of-broadcast,2020-01-29,Indie,4.57,
Desperados III Demo,desperados-iii-demo,2020-05-26,none,0.0,
TrackMania (2020),trackmania-2020,2020-07-01,Racing,3.32,74.0
The Jackbox Party Pack 7,the-jackbox-party-pack-7,2020-10-14,Casual,0.0,
Notre-Dame de Paris: Journey Back in Time,notre-dame-de-paris-journey-back-in-time,2020-09-10,Casual,0.0,
Madden NFL 21,madden-nfl-21,2020-08-25,Strategy,0.0,65.0
Marvel's Iron Man VR,iron-man-vr,2020-07-03,Shooter,0.0,73.0
ULTRAKILL,ultrakill,2020-09-02,Indie,0.0,
Bloodstained: Curse of the Moon 2,bloodstained-curse-of-the-moon-2,2020-07-10,Platformer,0.0,
Remothered: Broken Porcelain,remothered-broken-porcelain,2020-10-13,Adventure,0.0,41.0
KUNAI,kunai-2,2020-02-05,Indie,0.0,
9 Monkeys of Shaolin: Prologue,9-monkeys-of-shaolin-prologue,2020-10-02,Indie,0.0,
Summer in Mara,summer-in-mara,2020-06-15,Indie,0.0,
ELDERBORN,elderborn,2020-01-29,Indie,3.86,
SiNKR,sinkr,2020-04-17,Casual,2.67,
112 Operator,112-operator,2020-10-08,Strategy,3.88,
Raji: An Ancient Epic,raji-an-ancient-epis,2020-08-18,Indie,3.67,67.0
Talvisota - Winter War,talvisota-winter-war,2020-04-02,Massively Multiplayer,0.0,
Beyond a Steel Sky,beyond-a-steel-sky,2020-07-16,Indie,4.11,70.0
"Cook, Serve, Delicious! 3?!",cook-serve-delicious-3,2020-01-28,Strategy,0.0,
Barn Finders,barn-finders,2020-06-16,Casual,3.33,
Hello Neighbor 2 Alpha 1,hello-neighbor-2-alpha-1,2020-07-23,Indie,0.0,
MLB The Show 20,mlb-the-show-20,2020-03-17,Sports,4.0,83.0
There Is No Game: Wrong Dimension,there-is-no-game-wrong-dimension-2,2020-08-05,Casual,3.33,89.0
Project CARS 3,project-cars-3,2020-08-27,Racing,0.0,69.0
Control: AWE,control-awe,2020-08-27,Shooter,3.8,
Fairy Tail,fairy-tail,2020-07-29,Adventure,2.08,
House of Detention,house-of-detention,2020-05-29,Adventure,0.0,
Ooblets,ooblets,2020-07-15,Indie,0.0,
Filament,filament-2,2020-04-22,Strategy,0.0,
Maid of Sker,maid-of-sker,2020-07-27,Indie,0.0,
Solasta: Crown of the Magister,solasta-crown-of-the-magister,2020-10-20,Strategy,0.0,
Epic Battle Fantasy 5,epic-battle-fantasy-5,2020-03-05,Strategy,4.11,
