PublisherKey,PublisherName,NumberGamesPublished,AsOfFullDate
donkey-crew,Donkey Crew,1.0,2020-11-29
rising-star-games,Rising Star Games,57.0,2020-11-29
ternox,TERNOX,6.0,2020-11-29
marvelous-inc,Marvelous Inc.,1.0,2020-11-29
dr-pinkcake,Dr PinkCake,2.0,2020-11-29
placeholder-gameworks,Placeholder Gameworks,1.0,2020-11-29
outerloop-games,Outerloop Games,1.0,2020-11-29
amagswag-games,AmagSwag Games,14.0,2020-11-29
owlchemy-labs,Owlchemy Labs,6.0,2020-11-29
d3-publisher,D3 PUBLISHER,40.0,2020-11-29
sveg-masha-ooo,"SVEG MASHA, OOO",2.0,2020-11-29
vlg,VLG,1.0,2020-11-29
inca-games,Inca Games,4.0,2020-11-29
tranquility-games,Tranquility games,12.0,2020-11-29
mangagamer,MangaGamer,83.0,2020-11-29
coldwild-games,Coldwild Games,5.0,2020-11-29
the-irregular-corporation,The Irregular Corporation,11.0,2020-11-29
kemco,KEMCO,106.0,2020-11-29
rooster-teeth-games,Rooster Teeth Games,5.0,2020-11-29
glaive-games,Glaive Games,1.0,2020-11-29
ant-workshop-ltd,Ant Workshop Ltd,2.0,2020-11-29
whispergames,WhisperGames,19.0,2020-11-29
three-fields-entertainment,Three Fields Entertainment,4.0,2020-11-29
artifex-mundi,Artifex Mundi,79.0,2020-11-29
funcraft-games,Funcraft Games,2.0,2020-11-29
muha-games,MuHa Games,2.0,2020-11-29
ecc-games,ECC GAMES,1.0,2020-11-29
alawar-entertainment,Alawar Entertainment,209.0,2020-11-29
zoink-games,Zoink Games,5.0,2020-11-29
muse-games,Muse Games,7.0,2020-11-29
platstudio,PlatSTUDIO,3.0,2020-11-29
ratalaika-games,Ratalaika Games,45.0,2020-11-29
carlos-coronado,Carlos Coronado,3.0,2020-11-29
josyanf1,Josyanf1,1.0,2020-11-29
poysky-productions,Poysky Productions,2.0,2020-11-29
indienova,indienova,21.0,2020-11-29
primebit-games-sa,PrimeBit Games S.A.,3.0,2020-11-29
rocketpunch-games,RocketPunch Games,1.0,2020-11-29
zan,Zan,1.0,2020-11-29
lemon-squeezy,Lemon Squeezy,1.0,2020-11-29
pixel-cattle-games,Pixel Cattle Games,4.0,2020-11-29
denpasoft,Denpasoft,11.0,2020-11-29
renovators,Renovators,1.0,2020-11-29
cafe-shiba,Cafe Shiba,1.0,2020-11-29
crazy-monkey,Crazy Monkey,3.0,2020-11-29
acke-hallgren,Acke Hallgren,1.0,2020-11-29
unbound-creations,Unbound Creations,4.0,2020-11-29
idcgames,IDC/Games,8.0,2020-11-29
8floor-2,8Floor,96.0,2020-11-29
pablo-vidaurre-sanz,Pablo Vidaurre Sanz,3.0,2020-11-29
detach-entertainment,Detach Entertainment,1.0,2020-11-29
rooster-teeth,Rooster Teeth,1.0,2020-11-29
abbey-games,Abbey Games,4.0,2020-11-29
milestone-srl,Milestone S.r.l.,34.0,2020-11-29
shen-zhen-shi-ai-wan-you-xi-ke-ji-you-xian-gong-si,深圳市爱玩游戏科技有限公司,2.0,2020-11-29
redlock-studio,Redlock Studio,1.0,2020-11-29
blueflower,blueflower,1.0,2020-11-29
trion-worlds,Trion Worlds,10.0,2020-11-29
the-pokemon-company,The Pokemon Company,12.0,2020-11-29
rewindapp,Rewindapp,63.0,2020-11-29
dima-kozyr,Dima Kozyr,1.0,2020-11-29
core-games,Core Games,3.0,2020-11-29
